1182	欽定續通典	史	政書	嵇璜	清	1753		after
1183	欽定皇朝通典	史	政書	高宗弘曆	清	1786	1799	after
1184	欽定皇朝通志	史	政書	高宗弘曆	清	1795	1799	after
1185	元朝典故編年考	史	政書	孫承澤	清	1594	1676	after
1189	政和五礼新仪	史	政书类	郑居中	宋			before
119	田间易学	经	易类	钱澄之	清			after
1194	明集禮	史	政書	徐一夔	明	1530		before
1195	頖宫禮樂疏	史	政書	李之藻	明	1571	1630	after
1199	幸魯盛典	史	政書	弘毓圻	清	1689		after
12	温公易说	经	易类	司马光	宋			before
1200	萬壽盛典初集	史	政書	王掞	清	1715		after
1201	欽定大清通禮	史	政書	來保	清	1736		after
12014	大方广佛华严经-唐-实叉难陀	佛	大藏经_经藏_华严部					blank
12015	大方广佛华严经-唐-般若	佛	大藏经_经藏_华严部					blank
1202	皇朝禮器圖式	史	政書	允禄	清	1759		after
1203	國朝宫史	史	政書	高宗弘曆	清	1763	1799	after
1205	欽定南巡盛典	史	政書	高晋	清	1771		after
1206	八旬萬壽盛典	史	政書	阿桂	清	1792	1797	after
121	周易象辞	经	易类	黄宗炎	清			after
1212	錢通	史	政書	胡我琨	明			unknown
1215	欽定康濟錄	史	政書	陸曾禹	清	1739		after
12154	不空罥索陀罗尼自在王咒经	佛	大藏经	宝思惟	唐			before
1219	欽定八旗通志	史	政書	高宗弘曆	清	1795	1799	after
1220	唐律疏义	史	政书类	长孙无忌	唐			before
1221	大清律例	史	政書	三泰	清	1646		after
1222	营造法式	史	政书类	李诫	宋			before
123	仲氏易	经	易类	毛奇龄	清			after
1234	經義考	史	目錄	朱彝尊	清	1629	1709	after
1236	金石录	史	目录类	赵明诚	宋			before
1251	名蹟錄	史	目錄	朱珪	明	1471		before
1252	吴中金石新編	史	目錄	陳暐	明	1491		before
1259	求古錄	史	目錄	顧炎武	清	1613	1682	after
126	易小帖	经	易类	毛奇龄	清			after
1260	金石文字記	史	目錄	顧炎武	清	1613	1682	after
127	易俟	经	易类	乔莱	清			after
1271	史通	史	史评类	刘知几	唐			before
1272	史通通釋	史	史評	浦起龍	清	1679		after
1278	经幄管见	史	史评类	曹彦约	宋			before
128	读易日钞	经	易类	张烈	清			after
1281	宋大事记讲义	史	史评类	吕中	宋			before
1282	两汉笔记	史	史评类	钱时	宋			before
1284	通鑑答问	史	史评类	王应麟	宋			before
1285	历代名贤确论	史	史评类	阙名	宋			before
1286	历代通略	史	史评类	陈栎	元			before
1287	十七史纂古今通要	史	史评类	胡一桂	元			before
1291	御批资治通鑑纲目前编	史	史评类	金履祥	元			before
1294	欽定古今儲貳金鑑	史	史評	高宗弘曆	清	1786	1799	after
13	横渠易说	经	易类	张载	宋			before
130	周易观彖	经	易类	李光地	清			after
13007	佛说时非时经之二	佛	大藏经	若罗严	西晋			before
1305	新序	子	儒家类	刘向	汉			before
1307	潜夫论	子	儒家类	王符	汉			before
131	周易浅述	经	易类	陈梦雷	清			after
1317	家范	子	儒家类	司马光	宋			before
132	易原就正	经	易类	包仪	清			after
1323	张子全书	子	儒家类	张戴	宋			before
1324	张子语录	子	儒家类	张载	宋			before
1326	正蒙初义	子	儒家类	王植	清			after
1327	二程遗书	子	儒家类	程颢	宋			before
1328	二程外书	子	儒家类	程颢	宋			before
1329	二程粹言	子	儒家类	杨时	宋			before
133	大易通解	经	易类	魏荔彤	清			after
1332	节孝语录	子	儒家类	徐积	宋			before
1339	近思录	子	儒家类	朱熹	宋			before
134	易经衷论	经	易类	张英	清			after
1340	近思录集註	子	儒家类	茅星来	清			after
1343	御定小学集驻	子	儒家类	朱熹	宋			before
1344	朱子语类	子	儒家类	黎靖德	宋			before
1345	戒子通录	子	儒家类	刘清之	宋			before
1347	明本释	子	儒家类	刘荀	宋			before
1348	少仪外传	子	儒家类	吕祖谦	宋			before
1349	丽泽论说集录	子	儒家类	吕祖谦	宋			before
135	易图明辨	经	易类	胡渭	清			after
1350	曾子全书	子	儒家类	王晫	宋			before
1352	迩言	子	儒家类	刘炎	宋			before
1353	木钟集	子	儒家类	陈植	宋			before
1354	经济文衡	子	儒家类	朱熹	宋			before
1355	大学衍义	子	儒家类	眞德秀	宋			before
1356	西山读书记	子	儒家类	眞德秀	宋			before
1358	政经	子	儒家类	眞德秀	宋			before
1359	项氏家说	子	儒家类	项安世	宋			before
136	合订删补大易集义粹言	经	易类	纳喇性德	清			after
1360	先圣大训	子	儒家类	杨简	宋			before
1361	黄氏日抄	子	儒家类	黄震	宋			before
13639	天地八阳神咒经	佛	大藏经					blank
1365	东宫备览	子	儒家类	陈模	宋			before
137	周易传註	经	易类	李塨	清			after
1370	辨惑编	子	儒家类	谢应芳	元			before
1374	理学类编	子	儒家类	张九韶	明			unknown
1375	性理大全书	子	儒家类	胡广	明			unknown
1376	读书录	子	儒家类	薛瑄	明			unknown
1377	大学衍义补	子	儒家类	丘濬	明			unknown
13786	佛说仁王护国般若波罗蜜经疏神宝记	佛	大藏经	善月	宋			before
13794	佛说阿弥陀经要解	佛	藏外	智旭	明			unknown
1381	因知记	子	儒家类	罗钦训	明			unknown
1383	士翼	子	儒家类	崔铣	明			unknown
1384	泾野子内篇	子	儒家类	吕柟	明			unknown
13861	观无量寿经义疏-隋-慧远	佛	大藏经_论藏_经疏部					blank
1387	二程子抄释	子	儒家类	吕柟	明			unknown
1389	中庸衍义	子	儒家类	夏良胜	明			unknown
139	周易传义合订	经	易类	朱轼	清			after
1390	格物通	子	儒家类	湛若水	明			unknown
1392	呻吟语摘	子	儒家类	吕坤	明			unknown
