0	22294
1	66594
10	13192
100	313373
1000	231612
10000	1089
10004	3169
10008	15139
1001	661846
10011	2788
10014	1683
10019	2775
1002	29159
10022	1640
10024	137238
10025	907
1003	20363
10032	1848
10033	2684
10034	768
10038	3849
10039	2348
1004	114094
10042	8083
10043	1072
10044	874
10046	484
10047	208
10048	364
1005	108848
10050	2082
10053	78149
10056	9119
10059	8854
1006	99322
10064	754
10065	40847
10067	64080
10068	3536
10069	18275
1007	39117
10074	3956
10075	3028
10077	1359
10079	2129
1008	219579
10081	7307
10082	954
10083	36529
10086	3942
10087	724
10089	23891
1009	93237
10093	13512
10097	30612
10098	786
10099	1262
101	137294
1010	194371
10100	5587
10102	84400
10104	2108
10107	5059
10108	1518
1011	11153
10111	56
10114	2114
10119	24873
1012	23799
10126	20898
10128	4712
1013	337128
10130	3518
10131	1440
10135	4776
10137	16934
10138	21934
10139	874
1014	251621
10144	1948
10145	31619
10147	4123
1015	123396
1016	16677
10160	3186
10161	591234
10162	495602
10163	257745
10164	3666
10168	3214
1017	169046
10174	3324
10177	29831
10178	24254
1018	64971
10181	44474
10184	1368
10185	1928
10186	5867
1019	155943
10195	384
102	34456
1020	68548
10200	977
10201	111
10202	208
10203	91
10204	137
1021	379992
10211	2184
10213	1349
10214	8076
10215	1594
10217	1354
10218	3179
1022	21373
10221	1308
10222	820
10223	1460
10225	1127
10227	18121
10228	968
10229	1247
1023	7128
10231	493
10237	111
10239	9893
1024	11833
10241	2318
10243	1833
10246	8412
10247	308
10249	3660
1025	83950
10250	2052
10251	2669
10253	5995
10259	402
1026	175475
10260	5260
10262	117116
10263	8225
1027	668585
10270	16194
10273	10304
10276	54996
10279	6390
1028	798290
10280	663
10285	573
10286	17933
10287	1406
10289	9851
1029	1448251
10293	1746
10297	11271
10298	18091
103	47596
1030	121431
10300	57224
10301	2096
10302	4094
10303	13695
10305	2292
10308	24683
1031	677709
10310	39564
10311	1102
10312	54127
10313	4923
10317	4862
10318	6077
10319	71440
1032	725210
10325	2312
10328	21710
1033	1044703
10331	3199
10336	1906
